Date,Value
10/26/2011,0.998420526
10/27/2011,1.020354453
10/28/2011,1.013883284
10/31/2011,0.993140679
11/1/2011,0.982992491
11/2/2011,0.977918717
11/4/2011,1.018631093
11/7/2011,0.996101695
11/8/2011,0.987272849
11/9/2011,1.011545324
11/10/2011,0.970916297
11/11/2011,1.001608075
11/14/2011,1.010479862
11/15/2011,0.992820472
11/16/2011,0.990778485
11/17/2011,1.001946049
11/18/2011,0.987650437
11/21/2011,0.996818996
11/22/2011,0.995983683
11/24/2011,0.98201266
11/25/2011,0.999366773
11/28/2011,1.015622588
11/29/2011,1.022965949
11/30/2011,0.994903176
12/1/2011,1.019297813
12/2/2011,1.005393517
12/5/2011,1.006042571
12/6/2011,0.986106189
12/7/2011,1.017143676
12/8/2011,0.993397303
12/9/2011,0.98521335
12/12/2011,1.013748129
12/13/2011,0.988327613
12/14/2011,0.996062149
12/15/2011,0.98335983
12/16/2011,1.002906594
12/19/2011,0.987431191
12/20/2011,1.004864967
12/21/2011,1.014814405
12/22/2011,0.992338007
12/26/2011,1.010027169
12/27/2011,0.995426498
12/28/2011,0.997993089
12/29/2011,0.997064152
12/30/2011,1.006722313
1/4/2012,1.012389877
1/5/2012,0.99165894
1/6/2012,0.988412803
1/10/2012,1.003803198
1/11/2012,1.003041953
1/12/2012,0.992626548
1/13/2012,1.013645991
1/16/2012,0.985687188
1/17/2012,1.010508027
1/18/2012,1.009942795
1/19/2012,1.0104203
1/20/2012,1.014662657
1/23/2012,0.999947531
1/24/2012,1.002216508
1/25/2012,1.011195977
1/26/2012,0.996147918
1/27/2012,0.999067741
1/30/2012,0.994551666
1/31/2012,1.001075845
2/1/2012,1.000827068
2/2/2012,1.007608612
2/3/2012,0.994942939
2/6/2012,1.011013506
2/7/2012,0.998691858
2/8/2012,1.010997488
2/9/2012,0.998519275
2/10/2012,0.993882599
2/13/2012,1.005812985
2/14/2012,1.005877272
2/15/2012,1.023007945
2/16/2012,0.997598335
2/17/2012,1.015811727
2/20/2012,1.010754273
2/21/2012,0.997673157
2/22/2012,1.009614317
2/23/2012,1.00435109
2/24/2012,1.005399322
2/27/2012,0.998605819
2/28/2012,1.009195608
2/29/2012,1.000074127
3/1/2012,0.998367816
3/2/2012,1.007176007
3/5/2012,0.99197707
3/6/2012,0.993714554
3/7/2012,0.993611467
3/8/2012,1.020144026
3/9/2012,1.016458279
3/12/2012,0.995983794
3/13/2012,1.00093224
3/14/2012,1.015298336
3/15/2012,1.007239501
3/16/2012,1.000647004
3/19/2012,1.00120043
3/21/2012,0.994527701
3/22/2012,1.004024179
3/23/2012,0.988584039
3/26/2012,1.000676275
3/27/2012,1.023647881
3/28/2012,0.992922573
3/29/2012,0.993343501
3/30/2012,0.996912396
4/2/2012,1.002609252
4/3/2012,0.994116594
4/4/2012,0.977075574
4/5/2012,0.994665994
4/6/2012,0.991895648
4/9/2012,0.985323718
4/10/2012,0.99913681
4/11/2012,0.991688076
4/12/2012,1.006982939
4/13/2012,1.011884797
4/16/2012,0.982636361
4/17/2012,0.999373887
4/18/2012,1.02140053
4/19/2012,0.991840513
4/20/2012,0.997182055
4/23/2012,0.997992918
4/24/2012,0.992231339
4/25/2012,1.009819321
4/26/2012,1.000085798
4/27/2012,0.995718348
5/1/2012,0.982150885
5/2/2012,1.003133351
5/7/2012,0.972163817
5/8/2012,1.006854895
5/9/2012,0.9851235
5/10/2012,0.996085246
5/11/2012,0.993746614
5/14/2012,1.002293037
5/15/2012,0.991854144
5/16/2012,0.988813255
5/17/2012,1.008569306
5/18/2012,0.970114618
5/21/2012,1.002622142
5/22/2012,1.011049526
5/23/2012,0.980217128
5/24/2012,1.000792403
5/25/2012,1.001986338
5/28/2012,1.001487199
5/29/2012,1.00743961
5/30/2012,0.99724045
5/31/2012,0.989521839
6/1/2012,0.988003781
6/4/2012,0.982865423
6/5/2012,1.01041152
6/6/2012,1.018078057
6/7/2012,1.012443789
6/8/2012,0.979112753
6/11/2012,1.019580983
6/12/2012,0.989776037
6/13/2012,1.005988262
6/14/2012,0.997793369
6/15/2012,1.000050259
6/18/2012,1.017702596
6/19/2012,0.99252961
6/20/2012,1.011141509
6/21/2012,1.008199064
6/22/2012,0.997085166
6/25/2012,0.992756654
6/26/2012,0.9919138
6/27/2012,1.007675447
6/28/2012,1.016450407
6/29/2012,1.014950222
7/2/2012,0.999633631
7/3/2012,1.007009442
7/4/2012,1.004144897
7/5/2012,0.997323192
7/6/2012,0.993496574
7/9/2012,0.986268313
7/10/2012,0.995599647
7/11/2012,0.999240159
7/12/2012,0.985200516
7/13/2012,1.00047137
7/17/2012,1.003539599
7/18/2012,0.996772157
7/19/2012,1.007884911
7/20/2012,0.985710991
7/23/2012,0.981366525
7/24/2012,0.997622272
7/25/2012,0.985604599
7/26/2012,1.009227843
7/27/2012,1.014632072
7/30/2012,1.008031245
7/31/2012,1.006904007
8/1/2012,0.993880437
8/2/2012,1.001311071
8/3/2012,0.988666671
8/6/2012,1.020009057
8/7/2012,1.008826148
8/8/2012,1.008843332
8/9/2012,1.010971478
8/10/2012,0.990292564
8/13/2012,0.999292574
8/14/2012,1.005034185
8/15/2012,0.999458017
8/16/2012,1.018792042
8/17/2012,1.007669864
8/20/2012,1.000945174
8/21/2012,0.998447281
8/22/2012,0.997250201
8/23/2012,1.005078975
8/24/2012,0.988302577
8/27/2012,1.001612862
8/28/2012,0.994265561
8/29/2012,1.004042772
8/30/2012,0.990514763
8/31/2012,0.98398557
9/3/2012,0.993662774
9/4/2012,0.999045994
9/5/2012,0.989095852
9/6/2012,1.000086407
9/7/2012,1.022012388
9/10/2012,0.999742971
9/11/2012,0.993010751
9/12/2012,1.017324117
9/13/2012,1.003927521
9/14/2012,1.018258645
9/18/2012,0.996111082
9/19/2012,1.011885485
9/20/2012,0.98426926
9/21/2012,1.002533243
9/24/2012,0.995531289
9/25/2012,1.002453334
9/26/2012,0.979669028
9/27/2012,1.004846904
9/28/2012,0.99109373
10/1/2012,0.991696837
10/2/2012,0.998810896
10/3/2012,0.995540694
10/4/2012,1.008885433
